Id,Date,content,User,hashtags,retweetCount,likeCount,followersCount,created,favouritesCount,listedCount,replyCount,source,lang
1537405220250075136,2022-06-16 12:02:22+00:00,@byukavuba @erick_shaba @MTNRwanda Nushaka uvuze ingoma bro niwowe wenyine se ufite icyokibzo nitwese,Zabaj_Thefirst,,0,0,48,2020-10-18 17:43:40+00:00,5505,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",und
1537403258305761281,2022-06-16 11:54:35+00:00,@JuruInitiative @ncpdrwanda @npcrwanda @RwandaDeafwomen @NdAnastase @NUDOR_Rw @MTNRwanda @RwamaganaDistr @ursu_rwamagana @CityofKigali Wow this meeting will bring many  solutions I know.,IzabayoFabrice4,,1,2,471,2021-07-31 10:16:06+00:00,5000,2,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1537399236597358593,2022-06-16 11:38:36+00:00,@erick_shaba @MTNRwanda Air hejuruuuuuuuuuuuuuuuuuu,___mike250,,0,0,112,2020-09-28 18:34:16+00:00,1324,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",in
1537396710464540672,2022-06-16 11:28:33+00:00,@MTNRwanda https://t.co/Zz068R34LB,MANUDI2013,,0,0,4,2012-11-18 10:18:16+00:00,11,0,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",qme
1537394969450782721,2022-06-16 11:21:38+00:00,@MTNRwanda Kuko sinzi impamvu mokashi yange bayigize kuriya nkajya  savincent mukambwirakomubikoze nanubu nkabura mufasha,AlphonseMkirir,,1,1,17,2022-03-06 09:58:32+00:00,111,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",tl
1537394830489309185,2022-06-16 11:21:05+00:00,"Yves Murenzi, the head coach of the Rwanda U-18 boys’ basketball team, has urged his players to be ‘very cautious’ ahead of their second meeting with Uganda’s Junior Silverbacks.

The game gets underway at 7pm Kigali time, at the MTN Indoor Arena, Lugogo.

https://t.co/rLGF2jFpZP",NewTimesRwanda,,2,5,370818,2010-09-16 15:15:50+00:00,475,542,0,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",en
1537391980237438976,2022-06-16 11:09:46+00:00,@byukavuba @erick_shaba @MTNRwanda Nanjye bambwiyeko bazamfasha ahubwo mbona byararushijeho kuzamba,Bijoux_Rwanda,,0,0,193,2020-12-31 17:56:48+00:00,1141,0,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ht
1537381856718487553,2022-06-16 10:29:32+00:00,@MTNRwanda #wownesday the best is b digital payment it is easy faster and effective everywhere you go,BlaiseMukasa,['wownesday'],0,0,19,2018-09-29 14:29:17+00:00,796,0,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
1537380652613607424,2022-06-16 10:24:45+00:00,@erick_shaba @MTNRwanda ntacyo nabivugaho kuko #Mtn sinzigera nokongera kuyikoresha ukundi maze igihe nyisezeyeho @airtelrw yambanye ibuki,KIA_brother,['Mtn'],0,0,119,2021-09-25 15:16:06+00:00,904,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",in
1537378476096778242,2022-06-16 10:16:06+00:00,@david_bayingana @CHOGM2022 @visitrwanda_now @PsfKigali @CityofKigali @MTNRwanda @bralirwaplc @AlwaysInyange @RwandaForzza @ahfrwanda @Sensitiveltd Perfect said!!!,zinchenko142,,0,0,1,2022-06-14 08:33:21+00:00,46,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
1537377738964840448,2022-06-16 10:13:10+00:00,@kezio_musoke @MTNRwanda Fwd: @Rwandapolice  @RIB_Rw,KulTemp,,0,1,34,2022-03-06 07:37:11+00:00,2650,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",und
1537376976905949184,2022-06-16 10:10:09+00:00,@MTNRwanda Mwiriweneza konatanze ikibazo cyange cya mokash kimaze.kimaze ukwezi1 mumbwirangikirazwi mukaba mutakinkemurira harabuki Kandi birimushinganozanyu.,AlphonseMkirir,,0,0,17,2022-03-06 09:58:32+00:00,111,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",in
1537376973030400001,2022-06-16 10:10:08+00:00,"🔴We thank the Organizers of this Festival, As it will make Our City VIBE even More during the #CHOGM2022 …

Thank you @CHOGM2022 @visitrwanda_now @PsfKigali @CityofKigali @MTNRwanda @bralirwaplc @AlwaysInyange @RwandaForzza @ahfrwanda @Sensitiveltd https://t.co/NsSSnTAfBZ",david_bayingana,['CHOGM2022'],0,12,32403,2021-02-17 13:44:06+00:00,1977,2,1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
1537375478050349057,2022-06-16 10:04:11+00:00,@erick_shaba @MTNRwanda Ndabeshya c ngo nunguke iki?! Niko bimeze iyo uguze utwijana 4G irakora ariko wagura iya menshi yukwezi bigakwama,Mtdidier4,,0,0,13,2017-03-02 14:35:02+00:00,114,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",tl
